Fiscal Year,School District,County,School Name,Percentage (%) of Free & Reduced
2025,DeKalb County,DeKalb,DeKalb Preparatory Academy Charter,0.95
2025,DeKalb County,DeKalb,Barack H. Obama Elementary Magnet School of Technology,0.95
2025,DeKalb County,DeKalb,Doraville United Elementary School,0.95
2025,DeKalb County,DeKalb,John Robert Lewis Elementary School,0.88
2025,DeKalb County,DeKalb,Cary Reynolds Elementary School,0.87
2025,DeKalb County,DeKalb,Stone Mountain Elementary School,0.95
2025,DeKalb County,DeKalb,Ashford Park Elementary School,0.15
2025,DeKalb County,DeKalb,Briarlake Elementary School,0.39
2025,DeKalb County,DeKalb,Canby Lane Elementary School,0.95
2025,DeKalb County,DeKalb,Chesnut Elementary School,0.53
2025,DeKalb County,DeKalb,Dunaire Elementary School,0.95
2025,DeKalb County,DeKalb,Flat Shoals Elementary School,0.95
2025,DeKalb County,DeKalb,Hambrick Elementary School,0.95
2025,DeKalb County,DeKalb,Jolly Elementary School,0.95
2025,DeKalb County,DeKalb,Lakeside High School,0.47
2025,DeKalb County,DeKalb,Oak Grove Elementary School,0.12
2025,DeKalb County,DeKalb,Pleasantdale Elementary School,0.86
2025,DeKalb County,DeKalb,Rock Chapel Elementary School,0.95
2025,DeKalb County,DeKalb,Smoke Rise Elementary School,0.84
2025,DeKalb County,DeKalb,Toney Elementary School,0.95
2025,DeKalb County,DeKalb,McNair High School,0.95
2025,DeKalb County,DeKalb,Briar Vista Elementary School,0.71
2025,DeKalb County,DeKalb,Murphey Candler Elementary School,0.95
2025,DeKalb County,DeKalb,Clarkston High School,0.95
2025,DeKalb County,DeKalb,Cross Keys High School,0.95
2025,DeKalb County,DeKalb,Hightower Elementary School,0.88
2025,DeKalb County,DeKalb,Montclair Elementary School,0.84
2025,DeKalb County,DeKalb,Oakcliff Elementary School,0.95
2025,DeKalb County,DeKalb,Rainbow Elementary School,0.95
2025,DeKalb County,DeKalb,Rowland Elementary School,0.95
2025,DeKalb County,DeKalb,Snapfinger Elementary School,0.95
2025,DeKalb County,DeKalb,Stoneview Elementary School,0.95
2025,DeKalb County,DeKalb,Towers High School,0.95
2025,DeKalb County,DeKalb,Coralwood Education Center,0.05
2025,DeKalb County,DeKalb,Avondale Elementary School,0.92
2025,DeKalb County,DeKalb,Chamblee High School,0.44
2025,DeKalb County,DeKalb,Dunwoody High School,0.36
2025,DeKalb County,DeKalb,Hawthorne Elementary School,0.83
2025,DeKalb County,DeKalb,Huntley Hills Elementary School,0.8
2025,DeKalb County,DeKalb,Kingsley Elementary School,0.69
2025,DeKalb County,DeKalb,Montgomery Elementary School,0.15
2025,DeKalb County,DeKalb,Redan Elementary School,0.95
2025,DeKalb County,DeKalb,Sagamore Hills Elementary School,0.3
2025,DeKalb County,DeKalb,Southwest DeKalb High School,0.95
2025,DeKalb County,DeKalb,DeKalb Arts Academy,0.76
2025,DeKalb County,DeKalb,Brockett Elementary School,0.92
2025,DeKalb County,DeKalb,Chapel Hill Elementary School,0.95
2025,Decatur County,Decatur,New Beginning Learning Center,0.95
2025,Decatur County,Decatur,West Bainbridge Primary School,0.95
2025,Decatur County,Decatur,Jones-Wheat Primary School,0.95
2025,Decatur County,Decatur,Hutto Elementary School,0.95
2025,Decatur County,Decatur,Bainbridge High School,0.95
2025,Decatur County,Decatur,Bainbridge Middle School,0.95
2025,Department of Juvenile Justice,Crisp,Crisp RYDC,0.95
2025,Department of Juvenile Justice,Richmond,Augusta Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Columbus,Aaron Cohn Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Whitfield,Elbert Shaw Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,DeKalb,DeKalb Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Bibb,Macon Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Cobb,Marietta Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Fulton,Metro Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Bibb,Macon Youth Development Campus,0.95
2025,Department of Juvenile Justice,Rockdale,Rockdale RYDC,0.95
2025,Department of Juvenile Justice,Thomas,T J Loftiss II Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Hall,Gainesville Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Floyd,Bob Richards Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Cobb,Martha K. Glaze Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Baldwin,Millegeville ITU,0.95
2025,Department of Juvenile Justice,Chatham,Savannah Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Richmond,Augusta Youth Development Campus,0.95
2025,Department of Juvenile Justice,Dodge,Eastman Youth Development Campus,0.95
2025,Department of Juvenile Justice,Ware,Waycross Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Fulton,Atlanta Youth Development Campus,0.95
2025,Department of Juvenile Justice,Wilkes,Wilkes County Regional Detention Center,0.95
2025,Department of Juvenile Justice,Laurens,Cadwell RYDC,0.95
2025,Department of Juvenile Justice,Terrell,Terrell Regional Youth Detention Center,0.95
2025,Department of Juvenile Justice,Evans,Claxton Regional Youth Detention Center,0.95
2025,Dodge County,Dodge,DAC (Dodge County Achievement Center),0.95
2025,Dodge County,Dodge,Dodge County Middle School,0.95
2025,Dodge County,Dodge,Dodge County Primary School,0.95
2025,Dodge County,Dodge,Dodge County High School,0.95
2025,Dodge County,Dodge,Dodge County Elementary School,0.95
2025,Dooly County,Dooly,Dooly County Middle School,0.95
2025,Dooly County,Dooly,Dooly County Elementary School,0.95
2025,Dooly County,Dooly,Dooly County High School,0.82
2025,Dooly County,Dooly,Dooly County Prep Academy,0.95
2025,Dougherty County,Dougherty,Westover High School,0.88
2025,Dougherty County,Dougherty,South Georgia Regional Achievement Center The Phoenix,0.95
2025,Dougherty County,Dougherty,International Studies Elementary Charter School,0.95
2025,Dougherty County,Dougherty,Radium Springs Elementary School,0.95
2025,Dougherty County,Dougherty,West Town Elementary School,0.95
2025,Dougherty County,Dougherty,Albany Middle School,0.95
2025,Dougherty County,Dougherty,Live Oak Elementary School,0.95
2025,Dougherty County,Dougherty,Robert A. Cross Middle Magnet,0.95
2025,Dougherty County,Dougherty,Robert H Harvey Elementary School,0.95
2025,Dougherty County,Dougherty,Radium Springs Middle School,0.95
2025,Dougherty County,Dougherty,Lamar Reese School of the Arts,0.95
2025,Dougherty County,Dougherty,Lincoln Elementary Magnet School,0.95
2025,Dougherty County,Dougherty,Alice Coachman Elementary School,0.95
2025,Dougherty County,Dougherty,Martin Luther King Jr. Elementary School,0.95
2025,Dougherty County,Dougherty,Monroe High School,0.95
2025,Dougherty County,Dougherty,Dougherty Comprehensive High School,0.95
2025,Dougherty County,Dougherty,Northside Elementary School,0.95
2025,Dougherty County,Dougherty,Turner Elementary School,0.95
2025,Dougherty County,Dougherty,Lake Park Elementary School,0.85
2025,Dougherty County,Dougherty,Merry Acres Middle School,0.95
2025,Dougherty County,Dougherty,Sherwood Acres Elementary School,0.95
2025,Douglas County,Douglas,Mason Creek Elementary School,0.68
2025,Douglas County,Douglas,Lithia Springs Comprehensive High School,0.8
2025,Douglas County,Douglas,New Manchester High School,0.66
2025,Douglas County,Douglas,Factory Shoals Elementary School,0.88
2025,Douglas County,Douglas,Arbor Station Elementary School,0.75
2025,Douglas County,Douglas,Fairplay Middle School,0.47
2025,Douglas County,Douglas,Dorsett Shoals Elementary School,0.75
2025,Douglas County,Douglas,Alexander High School,0.52
2025,Douglas County,Douglas,Chestnut Log Middle School,0.84
2025,Douglas County,Douglas,South Douglas Elementary School,0.47
2025,Douglas County,Douglas,Bright Star Elementary School,0.85
2025,Douglas County,Douglas,Holly Springs Elementary School,0.58
2025,Douglas County,Douglas,New Manchester Elementary School,0.75
2025,Douglas County,Douglas,Chapel Hill Elementary School,0.69
2025,Douglas County,Douglas,Sweetwater Elementary School,0.88
2025,Douglas County,Douglas,Mirror Lake Elementary School,0.69
2025,Douglas County,Douglas,Burnett Elementary School,0.93
2025,Douglas County,Douglas,Brighten Academy,0.35
2025,Douglas County,Douglas,Eastside Elementary School,0.91
2025,Douglas County,Douglas,Youth Villages at Inner Harbour,0.95
2025,Douglas County,Douglas,Winston Elementary School,0.84
2025,Douglas County,Douglas,Beulah Elementary School,0.84
2025,Douglas County,Douglas,Turner Middle School,0.85
2025,Douglas County,Douglas,Lithia Springs Elementary School,0.85
2025,Douglas County,Douglas,Chapel Hill Middle School,0.59
2025,Douglas County,Douglas,Douglas County High School,0.7
2025,Douglas County,Douglas,Mount Carmel Elementary School,0.84
2025,Douglas County,Douglas,Stewart Middle School,0.87
2025,Douglas County,Douglas,Annette Winn Elementary School,0.88
2025,Douglas County,Douglas,Chapel Hill High School,0.57
2025,Douglas County,Douglas,Yeager Middle School,0.79
2025,Douglas County,Douglas,North Douglas Elementary School,0.88
2025,Douglas County,Douglas,Bill Arp Elementary School,0.78
2025,Douglas County,Douglas,Factory Shoals Middle School,0.78
2025,Douglas County,Douglas,Mason Creek Middle School,0.68
2025,Dublin City,Lauren,Dublin High School,0.95
2025,Dublin City,Lauren,Susie Dasher,0.95
2025,Dublin City,Lauren,Moore Street Facility,0.95
2025,Dublin City,Lauren,Dublin Middle School,0.95
2025,Dublin City,Lauren,Hillcrest Elementary,0.95
2025,Early County,Early,Early County Elementary School,0.95
2025,Early County,Early,Early County Middle School,0.95
2025,Early County,Early,Early County High School,0.78
2025,Echols County,Echols,Echols County Elementary/Middle School,0.88
2025,Echols County,Echols,Echols County High School,0.72
2025,Effingham County,Effingham,Guyton Elementary School,0.66
2025,Effingham County,Effingham,South Effingham Elementary School,0.33
2025,Effingham County,Effingham,Blandford Elementary School,0.51
2025,Effingham County,Effingham,Marlow Elementary School,0.47
2025,Effingham County,Effingham,Springfield Elementary School,0.64
2025,Effingham County,Effingham,Sand Hill Elementary School,0.5
2025,Effingham County,Effingham,South Effingham High School,0.39
2025,Effingham County,Effingham,Rincon Elementary School,0.57
2025,Effingham County,Effingham,Effingham County High School,0.48
2025,Effingham County,Effingham,South Effingham Middle School,0.42
2025,Effingham County,Effingham,Ebenezer Elementary School,0.48
2025,Effingham County,Effingham,Effingham County Middle School,0.57
2025,Effingham County,Effingham,Ebenezer Middle School,0.45
2025,Elbert County,Elbert,Elbert County Elementary School,0.95
2025,Elbert County,Elbert,Elbert County Primary School,0.95
2025,Elbert County,Elbert,Elbert County High School,0.95
2025,Elbert County,Elbert,Elbert County Middle School,0.95
2025,Emanuel County,Emanuel,Twin City Elementary School,0.83
2025,Emanuel County,Emanuel,Swainsboro Primary School,0.95
2025,Emanuel County,Emanuel,Swainsboro Elementary School,0.95
2025,Emanuel County,Emanuel,Swainsboro Middle School,0.95
2025,Emanuel County,Emanuel,Swainsboro High School,0.95
2025,Emanuel County,Emanuel,Emanuel County Institute,0.7
2025,Evans County,Evans,Second Chance,0.95
2025,Evans County,Evans,Claxton Elementary School,0.95
2025,Evans County,Evans,Claxton High School,0.95
2025,Evans County,Evans,Claxton Middle School,0.95
2025,Fannin County,Fannin,East Fannin Elementary School,0.95
2025,Fannin County,Fannin,Fannin County Middle School,0.91
2025,Fannin County,Fannin,Fannin County High School,0.83
2025,Fannin County,Fannin,West Fannin Elementary School,0.95
2025,Fannin County,Fannin,Blue Ridge Elementary School,0.95
2025,Fayette County,Fayette,J.C. Booth Middle School,0.24
2025,Fayette County,Fayette,Inman Elementary,0.39
2025,Fayette County,Fayette,Bennett's Mill Middle School,0.63
2025,Fayette County,Fayette,Whitewater High School,0.24
2025,Fayette County,Fayette,Crabapple Lane Elementary School,0.23
2025,Fayette County,Fayette,Sara Harp Minter Elementary School,0.27
2025,Fayette County,Fayette,Whitewater Middle School,0.24
2025,Fayette County,Fayette,Cleveland Elementary School,0.47
2025,Fayette County,Fayette,Rising Starr Middle School,0.15
2025,Fayette County,Fayette,Spring Hill Elementary School,0.73
2025,Fayette County,Fayette,Robert J. Burch Elementary School,0.53
2025,Fayette County,Fayette,Peeples Elementary School,0.17
2025,Fayette County,Fayette,Starrs Mill High School,0.13
2025,Fayette County,Fayette,Kedron Elementary School,0.21
2025,Fayette County,Fayette,Sandy Creek High School,0.45
2025,Fayette County,Fayette,Braelinn Elementary School,0.09
2025,Fayette County,Fayette,Oak Grove Elementary School,0.36
2025,Fayette County,Fayette,McIntosh High School,0.19
2025,Fayette County,Fayette,North Fayette Elementary School,0.68
2025,Fayette County,Fayette,Huddleston Elementary School,0.33
2025,Fayette County,Fayette,Peachtree City Elementary School,0.19
2025,Fayette County,Fayette,Flat Rock Middle School,0.49
2025,Fayette County,Fayette,Fayette County High School,0.53
2025,Fayette County,Fayette,Fayetteville Elementary School,0.64
2025,Floyd County,Floyd,Armuchee High School,0.48
2025,Floyd County,Floyd,Model High,0.4
2025,Floyd County,Floyd,Model Middle School,0.47
2025,Floyd County,Floyd,Pepperell Elementary,0.73
2025,Floyd County,Floyd,Armuchee Primary School,0.57
2025,Floyd County,Floyd,Model Elementary School,0.66
2025,Floyd County,Floyd,Pepperell High School,0.62
2025,Floyd County,Floyd,Coosa Middle School,0.77
2025,Floyd County,Floyd,Johnson Elementary,0.42
2025,Floyd County,Floyd,Coosa High School,0.71
2025,Floyd County,Floyd,Pepperell Primary,0.69
2025,Floyd County,Floyd,Garden Lakes Elementary School,0.73
2025,Floyd County,Floyd,Alto Park Elementary School,0.84
2025,Floyd County,Floyd,Armuchee Elementary School,0.55
2025,Floyd County,Floyd,Pepperell Middle School,0.68
2025,Forsyth County,Forsyth,Denmark High School,0.2
2025,Forsyth County,Forsyth,Hendricks Middle School,0.15
2025,Forsyth County,Forsyth,Settles Bridge Elementary School,0.15
2025,Forsyth County,Forsyth,Matt Elementary School,0.19
2025,Forsyth County,Forsyth,Cumming Elementary School,0.6
2025,Forsyth County,Forsyth,Sharon Elementary School,0.14
2025,Forsyth County,Forsyth,Riverwatch Middle School,0.13
2025,Forsyth County,Forsyth,Shiloh Point Elementary,0.12
2025,Forsyth County,Forsyth,West Forsyth High School,0.14
2025,Forsyth County,Forsyth,Johns Creek Elementary,0.14
2025,Forsyth County,Forsyth,Mashburn Elementary School,0.22
2025,Forsyth County,Forsyth,Coal Mountain Elementary School,0.31
2025,Forsyth County,Forsyth,South Forsyth High School,0.09
2025,Forsyth County,Forsyth,Chattahoochee Elementary School,0.54
2025,Forsyth County,Forsyth,North Forsyth High School,0.23
2025,Forsyth County,Forsyth,Daves Creek Elementary School,0.08
2025,Forsyth County,Forsyth,Vickery Creek Elementary School,0.07
2025,Forsyth County,Forsyth,Vickery Creek Middle School,0.14
2025,Forsyth County,Forsyth,Otwell Middle School,0.46
2025,Forsyth County,Forsyth,Sawnee Elementary School,0.22
2025,Forsyth County,Forsyth,East Forsyth High School,0.35
2025,Forsyth County,Forsyth,Brookwood Elementary,0.14
2025,Forsyth County,Forsyth,George W. Whitlow Elementary,0.32
2025,Forsyth County,Forsyth,Lambert High School,0.09
2025,Forsyth County,Forsyth,Haw Creek Elementary,0.12
2025,Forsyth County,Forsyth,Lakeside Middle School,0.15
2025,Forsyth County,Forsyth,Brandywine Elementary School,0.36
2025,Forsyth County,Forsyth,DeSana Middle School,0.22
2025,Forsyth County,Forsyth,Kelly Mill Elementary,0.15
2025,Forsyth County,Forsyth,Alliance Academy for Innovation,0.09
2025,Forsyth County,Forsyth,Chestatee Elementary,0.43
2025,Forsyth County,Forsyth,Little Mill Middle School,0.4
2025,Forsyth County,Forsyth,Poole's Mill Elementary,0.22
2025,Forsyth County,Forsyth,Liberty Middle School,0.22
2025,Forsyth County,Forsyth,Silver City Elementary School,0.25
2025,Forsyth County,Forsyth,Piney Grove Middle School,0.13
2025,Forsyth County,Forsyth,North Forsyth Middle School,0.29
2025,Forsyth County,Forsyth,South Forsyth Middle School,0.08
2025,Forsyth County,Forsyth,Big Creek Elementary School,0.16
2025,Forsyth County,Forsyth,Midway Elementary School,0.15
2025,Forsyth County,Forsyth,Forsyth Central High School,0.4
2025,Forsyth County,Forsyth,New Hope Elementary School,0.15
2025,Franklin County,Franklin,Franklin County Middle School,0.95
2025,Franklin County,Franklin,Carnesville Elementary School,0.95
2025,Franklin County,Franklin,Lavonia Elementary School,0.95
2025,Franklin County,Franklin,Franklin County High School,0.88
2025,Franklin County,Franklin,Royston Elementary School,0.95
2025,Fulton County,Fulton,Northwestern Middle School,0.11
2025,Fulton County,Fulton,New Prospect Elementary School,0.17
2025,Fulton County,Fulton,Northwood Elementary School,0.28
2025,Fulton County,Fulton,Centennial High School,0.43
2025,Fulton County,Fulton,Wellspring Living,0.95
2025,Fulton County,Fulton,Stonewall Tell Elementary School,0.95
2025,Fulton County,Fulton,Hillside Elementary School,0.41
2025,Fulton County,Fulton,Northview High School,0.13
2025,Fulton County,Fulton,KIPP South Fulton Academy School,0.95
2025,Fulton County,Fulton,Alpharetta High School,0.15
2025,Fulton County,Fulton,Oakley Elementary School,0.95
2025,Fulton County,Fulton,Dunwoody Springs Elementary School,0.95
2025,Fulton County,Fulton,Nolan Elementary School,0.95
2025,Fulton County,Fulton,Gullatt Elementary School,0.95
2025,Fulton County,Fulton,Holcomb Bridge Middle School,0.62
2025,Fulton County,Fulton,Sandy Springs Middle School,0.95
2025,Fulton County,Fulton,Tri-Cities High School,0.95
2025,Fulton County,Fulton,Ocee Elementary School,0.18
2025,Fulton County,Fulton,Woodland Elementary School,0.48
2025,Fulton County,Fulton,Ridgeview Charter School,0.51
2025,Fulton County,Fulton,Woodland Middle School,0.95
2025,Fulton County,Fulton,Creekside High School,0.95
2025,Fulton County,Fulton,Palmetto Elementary School,0.95
2025,Fulton County,Fulton,Dolvin Elementary School,0.16
2025,Fulton County,Fulton,Crabapple Middle School,0.2
2025,Fulton County,Fulton,Camp Creek Middle School,0.95
2025,Fulton County,Fulton,Barnwell Elementary School,0.16
2025,Fulton County,Fulton,McNair Middle School,0.95
2025,Fulton County,Fulton,Lake Windward Elementary School,0.12
2025,Fulton County,Fulton,Roswell High School,0.29
2025,Fulton County,Fulton,Hapeville Elementary School,0.95
2025,Fulton County,Fulton,Crabapple Crossing Elementary School,0.06
2025,Fulton County,Fulton,Campbell Elementary School,0.95
2025,Fulton County,Fulton,Brookview Elementary School,0.95
2025,Fulton County,Fulton,Heards Ferry Elementary School,0.09
2025,Fulton County,Fulton,Lee Elementary School,0.95
2025,Fulton County,Fulton,Parklane Elementary School,0.95
2025,Fulton County,Fulton,Riverwood International Charter School,0.4
2025,Fulton County,Fulton,High Point Elementary School,0.58
2025,Fulton County,Fulton,Mimosa Elementary School,0.95
2025,Fulton County,Fulton,North Springs High School,0.54
2025,Fulton County,Fulton,E. C. West Elementary School,0.95
2025,Fulton County,Fulton,Fulton Academy of Virtual Excellence,0.28
2025,Fulton County,Fulton,Promise Career Institute School,0.77
2025,Fulton County,Fulton,Medlock Bridge Elementary School,0.14
2025,Fulton County,Fulton,Webb Bridge Middle School,0.08
2025,Fulton County,Fulton,Summit Hill Elementary,0.07
2025,Fulton County,Fulton,Abbotts Hill Elementary School,0.18
2025,Fulton County,Fulton,Creek View Elementary School,0.05
2025,Fulton County,Fulton,Hembree Springs Elementary School,0.53
2025,Fulton County,Fulton,Spalding Drive Elementary,0.29
2025,Fulton County,Fulton,Hopewell Middle School,0.2
2025,Fulton County,Fulton,Milton High School,0.17
2025,Fulton County,Fulton,Renaissance Middle School,0.95
2025,Fulton County,Fulton,Renaissance Elementary School,0.95
2025,Fulton County,Fulton,Jackson Elementary School,0.95
2025,Fulton County,Fulton,Banneker High School,0.95
2025,Fulton County,Fulton,Main Street Charter Academy,0.46
2025,Fulton County,Fulton,Cliftondale Elementary School,0.95
2025,Fulton County,Fulton,Langston Hughes High School,0.95
2025,Fulton County,Fulton,Birmingham Falls Elementary School,0.05
2025,Fulton County,Fulton,Ison Springs Elementary School,0.95
2025,Fulton County,Fulton,Lake Forest Elementary,0.95
2025,Fulton County,Fulton,Hapeville Charter Career Academy,0.95
2025,Fulton County,Fulton,Johns Creek High School,0.12
2025,Fulton County,Fulton,Cambridge High School,0.11
2025,Fulton County,Fulton,College Park Elementary,0.95
2025,Fulton County,Fulton,Vickery Mill Elementary,0.95
2025,Fulton County,Fulton,Wolf Creek Elementary,0.95
2025,Fulton County,Fulton,Feldwood Elementary School,0.95
2025,Fulton County,Fulton,Fulton Academy of Science and Technology,0.05
2025,Fulton County,Fulton,Skyview High School,0.88
2025,Fulton County,Fulton,Conley Hills Elementary School,0.95
2025,Fulton County,Fulton,Asa Hilliard Elementary School,0.95
2025,Fulton County,Fulton,Westlake High School,0.49
2025,Fulton County,Fulton,Paul D. West Middle School,0.95
2025,Fulton County,Fulton,Alpharetta Elementary School,0.19
2025,Fulton County,Fulton,Roswell North Elementary School,0.19
2025,Fulton County,Fulton,Bethune Elementary School,0.95
2025,Fulton County,Fulton,Findley Oaks Elementary School,0.15
2025,Fulton County,Fulton,State Bridge Crossing Elementary School,0.17
2025,Fulton County,Fulton,Sweet Apple Elementary School,0.08
2025,Fulton County,Fulton,Manning Oaks Elementary School,0.31
2025,Fulton County,Fulton,Heritage Elementary School,0.95
2025,Fulton County,Fulton,Elkins Pointe Middle School,0.51
2025,Fulton County,Fulton,Cogburn Woods Elementary School,0.14
2025,Fulton County,Fulton,Autrey Mill Middle School,0.15
2025,Fulton County,Fulton,Georgia Baptist Children's Home and Family Ministries,0.95
2025,Fulton County,Fulton,Mountain Park Elementary School,0.09
2025,Fulton County,Fulton,Haynes Bridge Middle School,0.37
2025,Fulton County,Fulton,Independence High School,0.62
2025,Fulton County,Fulton,Randolph Elementary School,0.95
2025,Fulton County,Fulton,Bear Creek Middle School,0.95
2025,Fulton County,Fulton,Chattahoochee High School,0.16
2025,Fulton County,Fulton,River Eves Elementary School,0.3
2025,Fulton County,Fulton,Shakerag Elementary School,0.13
2025,Fulton County,Fulton,River Trail Middle School,0.14
2025,Fulton County,Fulton,Wilson Creek Elementary School,0.15
2025,Fulton County,Fulton,Amana Academy School,0.48
2025,Fulton County,Fulton,Global Impact Academy,0.56
2025,Fulton County,Fulton,Innovation Academy,0.1
2025,Fulton County,Fulton,Chattahoochee Hills Charter School,0.83
2025,Fulton County,Fulton,Hamilton E. Holmes Elementary,0.95
2025,Fulton County,Fulton,Liberty Point Elementary School,0.95
2025,Fulton County,Fulton,Sandtown Middle School,0.62
2025,Fulton County,Fulton,Taylor Road Middle School,0.16
2025,Gainesville City,Gainesville,Gainesville High School,0.57
2025,Gainesville City,Gainesville,New Holland Leadership Academy,0.87
2025,Gainesville City,Gainesville,Gainesville Middle School West,0.73
2025,Gainesville City,Gainesville,Centennial Arts Academy,0.73
2025,Gainesville City,Gainesville,Gainesville Exploration Academy,0.83
2025,Gainesville City,Gainesville,Enota Multiple Intelligences Academy,0.57
2025,Gainesville City,Gainesville,Fair Street International Academy,0.91
2025,Gainesville City,Gainesville,Gainesville Middle School East,0.73
2025,Gainesville City,Gainesville,Mundy Mill Arts Academy,0.72
2025,Gainesville City,Gainesville,Horizon Academy School,0.84
2025,Gilmer County,Gilmer,Clear Creek Middle School,0.51
2025,Gilmer County,Gilmer,Gilmer High School,0.48
2025,Gilmer County,Gilmer,Mountain View Elementary,0.57
2025,Gilmer County,Gilmer,Ellijay Elementary School,0.6
2025,Gilmer County,Gilmer,Clear Creek Elementary School,0.49
2025,Glascock County,Glascock,Glascock County Elementary School,0.58
2025,Glascock County,Glascock,Glascock County Middle/High School,0.48
2025,Glynn County,Glynn,Oglethorpe Point Elementary School,0.44
2025,Glynn County,Glynn,Altama Elementary School,0.95
2025,Glynn County,Glynn,Glyndale Elementary School,0.95
2025,Glynn County,Glynn,Morningstar Treatment Services Inc. Youth Estate,0.95
2025,Glynn County,Glynn,Sterling Elementary School,0.95
2025,Glynn County,Glynn,Glynn Middle School,0.75
2025,Glynn County,Glynn,Needwood Middle School,0.94
2025,Glynn County,Glynn,Greer Elementary School,0.74
2025,Glynn County,Glynn,Risley Middle School,0.83
2025,Glynn County,Glynn,Satilla Marsh Elementary School,0.67
2025,Glynn County,Glynn,Jane Macon Middle,0.95
2025,Glynn County,Glynn,Burroughs-Molette Elementary School,0.95
2025,Glynn County,Glynn,Goodyear Elementary School,0.95
2025,Glynn County,Glynn,Glynn Academy,0.62
2025,Glynn County,Glynn,Brunswick High School,0.91
2025,Glynn County,Glynn,St. Simons Elementary School,0.69
2025,Glynn County,Glynn,Golden Isles Elementary School,0.95
2025,Gordon County,Gordon,Red Bud Middle School,0.85
2025,Gordon County,Gordon,Sonoraville Elementary,0.9
2025,Gordon County,Gordon,Red Bud Elementary School,0.95
2025,Gordon County,Gordon,Swain Elementary School,0.95
2025,Gordon County,Gordon,Gordon Central High School,0.95
2025,Gordon County,Gordon,Ashworth Middle School,0.95
2025,Gordon County,Gordon,Belwood Elementary School,0.95
2025,Gordon County,Gordon,Fairmount Elementary School,0.95
2025,Gordon County,Gordon,Sonoraville High School,0.81
2025,Gordon County,Gordon,Tolbert Elementary School,0.95
2025,Grady County,Grady,Eastside Elementary School,0.95
2025,Grady County,Grady,Cairo High School,0.9
2025,Grady County,Grady,Whigham Elementary School,0.79
2025,Grady County,Grady,Southside Elementary School,0.95
2025,Grady County,Grady,Shiver Elementary School,0.92
2025,Grady County,Grady,Washington Middle School,0.95
2025,Greene County,Greene,Greene County High School,0.95
2025,Greene County,Greene,LAKE OCONEE CHARTER,0.8
2025,Greene County,Greene,Anita White Carson Middle School,0.95
2025,Greene County,Greene,Greene County Elementary School,0.95
2025,Greene County,Greene,Lake Oconee Charter High School,0.23
2025,Griffin-Spalding County,Spalding,Beaverbrook Elementary School,0.95
2025,Griffin-Spalding County,Spalding,Jackson Road Elementary School,0.95
2025,Griffin-Spalding County,Spalding,AZ Kelsey Academy,0.95
2025,Griffin-Spalding County,Spalding,Rehoboth Road Middle School,0.95
2025,Griffin-Spalding County,Spalding,Anne Street Elementary School,0.95
2025,Griffin-Spalding County,Spalding,Cowan Road Middle School,0.95
2025,Griffin-Spalding County,Spalding,Futral Road Elementary School,0.95
2025,Griffin-Spalding County,Spalding,Jordan Hill Road Elementary School,0.95
2025,Griffin-Spalding County,Spalding,Cowan Road Elementary School,0.95
2025,Griffin-Spalding County,Spalding,Griffin High School,0.95
2025,Griffin-Spalding County,Spalding,Kennedy Road Middle School,0.95
2025,Griffin-Spalding County,Spalding,Carver Road Middle School,0.95
2025,Griffin-Spalding County,Spalding,Moreland Road Elementary,0.95
2025,Griffin-Spalding County,Spalding,Spalding High School,0.82
2025,Griffin-Spalding County,Spalding,Orrs Elementary School,0.95
2025,Griffin-Spalding County,Spalding,Atkinson Elementary School,0.95
2025,Griffin-Spalding County,Spalding,Crescent Road Elementary School,0.87
2025,Griffin-Spalding County,Spalding,Moore Elementary School,0.95
2025,Gwinnett County,Gwinnett,Coleman Middle School,0.47
2025,Gwinnett County,Gwinnett,Baldwin Elementary,0.81
2025,Gwinnett County,Gwinnett,Grace Snell Middle School,0.72
2025,Gwinnett County,Gwinnett,Ferguson Elementary School,0.84
2025,Gwinnett County,Gwinnett,Burnette Elementary School,0.44
2025,Gwinnett County,Gwinnett,New Life Academy of Excellence,0.66
2025,Gwinnett County,Gwinnett,Mountain View High School,0.53
2025,Gwinnett County,Gwinnett,Paul Duke STEM High School,0.62
2025,Gwinnett County,Gwinnett,Devereux Ackerman Academy - Gwinnett,0.59
2025,Gwinnett County,Gwinnett,Beaver Ridge Elementary School,0.82
2025,Gwinnett County,Gwinnett,Annistown Elementary School,0.78
2025,Gwinnett County,Gwinnett,Shiloh Middle School,0.78
2025,Gwinnett County,Gwinnett,Hopkins Elementary School,0.88
2025,Gwinnett County,Gwinnett,Brookwood Elementary School,0.47
