LocationType,Location,TimeFrame,Data
County,Evans,2024,626
County,Fannin,2021,683
County,Fannin,2022,604
County,Fannin,2023,629
County,Fannin,2024,622
County,Fayette,2021,2181
County,Fayette,2022,1960
County,Fayette,2023,2016
County,Fayette,2024,1930
County,Floyd,2021,4455
County,Floyd,2022,4130
County,Floyd,2023,4170
County,Floyd,2024,4041
County,Forsyth,2021,2278
County,Forsyth,2022,2021
County,Forsyth,2023,2120
County,Forsyth,2024,2163
County,Franklin,2021,1067
County,Franklin,2022,1002
County,Franklin,2023,1012
County,Franklin,2024,986
County,Fulton,2021,41385
County,Fulton,2022,39286
County,Fulton,2023,39625
County,Fulton,2024,38156
County,Gilmer,2021,973
County,Gilmer,2022,923
County,Gilmer,2023,941
County,Gilmer,2024,924
County,Glascock,2021,126
County,Glascock,2022,120
County,Glascock,2023,124
County,Glascock,2024,118
County,Glynn,2021,3828
County,Glynn,2022,3541
County,Glynn,2023,3545
County,Glynn,2024,3427
County,Gordon,2021,2393
County,Gordon,2022,2108
County,Gordon,2023,2145
County,Gordon,2024,2108
County,Grady,2021,1375
County,Grady,2022,1322
County,Grady,2023,1367
County,Grady,2024,1379
County,Greene,2021,685
County,Greene,2022,658
County,Greene,2023,664
County,Greene,2024,615
County,Gwinnett,2021,31101
County,Gwinnett,2022,29132
County,Gwinnett,2023,30619
County,Gwinnett,2024,30186
County,Habersham,2021,1498
County,Habersham,2022,1376
County,Habersham,2023,1382
County,Habersham,2024,1374
County,Hall,2021,6135
County,Hall,2022,5718
County,Hall,2023,5878
County,Hall,2024,5771
County,Hancock,2021,434
County,Hancock,2022,395
County,Hancock,2023,403
County,Hancock,2024,377
County,Haralson,2021,1452
County,Haralson,2022,1336
County,Haralson,2023,1366
County,Haralson,2024,1310
County,Harris,2021,770
County,Harris,2022,692
County,Harris,2023,697
County,Harris,2024,672
County,Hart,2021,1169
County,Hart,2022,1029
County,Hart,2023,1044
County,Hart,2024,1017
County,Heard,2021,651
County,Heard,2022,585
County,Heard,2023,575
County,Heard,2024,578
County,Henry,2021,11848
County,Henry,2022,10991
County,Henry,2023,11537
County,Henry,2024,11624
County,Houston,2021,7037
County,Houston,2022,6534
County,Houston,2023,6763
County,Houston,2024,6620
County,Irwin,2021,505
County,Irwin,2022,474
County,Irwin,2023,491
County,Irwin,2024,492
County,Jackson,2021,2203
County,Jackson,2022,2043
County,Jackson,2023,2165
County,Jackson,2024,2148
County,Jasper,2021,676
County,Jasper,2022,600
County,Jasper,2023,619
County,Jasper,2024,603
County,Jeff Davis,2021,986
County,Jeff Davis,2022,904
County,Jeff Davis,2023,913
County,Jeff Davis,2024,882
County,Jefferson,2021,917
County,Jefferson,2022,850
County,Jefferson,2023,843
County,Jefferson,2024,831
County,Jenkins,2021,498
County,Jenkins,2022,463
County,Jenkins,2023,466
County,Jenkins,2024,461
County,Johnson,2021,469
County,Johnson,2022,450
County,Johnson,2023,454
County,Johnson,2024,457
County,Jones,2021,1079
County,Jones,2022,1009
County,Jones,2023,1030
County,Jones,2024,990
County,Lamar,2021,978
County,Lamar,2022,895
County,Lamar,2023,950
County,Lamar,2024,907
County,Lanier,2021,560
County,Lanier,2022,544
County,Lanier,2023,548
County,Lanier,2024,525
County,Laurens,2021,3212
County,Laurens,2022,3032
County,Laurens,2023,3026
County,Laurens,2024,3022
County,Lee,2021,1360
County,Lee,2022,1216
County,Lee,2023,1213
County,Lee,2024,1194
County,Liberty,2021,3251
County,Liberty,2022,3183
County,Liberty,2023,3308
County,Liberty,2024,2973
County,Lincoln,2021,329
County,Lincoln,2022,302
County,Lincoln,2023,294
County,Lincoln,2024,298
County,Long,2021,989
County,Long,2022,931
County,Long,2023,998
County,Long,2024,932
County,Lowndes,2021,6452
County,Lowndes,2022,6106
County,Lowndes,2023,6266
County,Lowndes,2024,6024
County,Lumpkin,2021,882
County,Lumpkin,2022,781
County,Lumpkin,2023,798
County,Lumpkin,2024,745
County,Macon,2021,574
County,Macon,2022,555
County,Macon,2023,590
County,Macon,2024,590
County,Madison,2021,1229
County,Madison,2022,1132
County,Madison,2023,1164
County,Madison,2024,1120
County,Marion,2021,436
County,Marion,2022,397
County,Marion,2023,403
County,Marion,2024,404
County,McDuffie,2021,1361
County,McDuffie,2022,1234
County,McDuffie,2023,1192
County,McDuffie,2024,1194
County,McIntosh,2021,589
County,McIntosh,2022,538
County,McIntosh,2023,520
County,McIntosh,2024,511
County,Meriwether,2021,1157
County,Meriwether,2022,1013
County,Meriwether,2023,1028
County,Meriwether,2024,996
County,Miller,2021,325
County,Miller,2022,304
